change_month,new_addition,account_code
2022-05-01,unlimited-screen-home,43661
2022-06-01,,532007
2022-06-01, ,2814
2022-06-01,4k-screen,1728
2022-06-01,advanced-dvr,9494
2022-06-01,advanced-dvr-1000,6269
2022-06-01,advanced-dvr-250,26598
2022-06-01,adventure,9790
2022-06-01,amc-premiere,2813
2022-06-01,cycling,63
2022-06-01,deportes,59514
2022-06-01,english,3
2022-06-01,entertainment,1119
2022-06-01,entertainment-preview,4
2022-06-01,entertainment-v2,578
2022-06-01,epix,820
2022-06-01,extra,497
2022-06-01,fubo-extra-lite,31033
2022-06-01,fubo-extra-lite-preview,3
2022-06-01,intl-sports-plus,13952
2022-06-01,latino,2495
2022-06-01,lifestyle,11
2022-06-01,mundo,234
2022-06-01,nbalp,2693
2022-06-01,news-plus,36100
2022-06-01,pantaya,322
2022-06-01,portuguese,1476
2022-06-01,portuguese_plus,7
2022-06-01,premiere,855
2022-06-01,raiitalia,1636
2022-06-01,rsn-fee,289390
2022-06-01,showtime,4611
2022-06-01,spanish,28
2022-06-01,sports-lite,3359
2022-06-01,starz,1980
2022-06-01,starz-epix-showtime,6956
2022-06-01,third-screen,7304
2022-06-01,tv5-monde,910
2022-06-01,unlimited-screen-home,7020
